ci95_high,ci95_low,comparison,control_condition,delta,metric,modality,true_condition
0.9324324324324325,0.7580645161290323,true_vs_other,other_statebridge,0.8507462686567164,cr,statebridge,true_statebridge
-0.7027027027027027,-0.8999999999999999,true_vs_other,other_statebridge,-0.8059701492537314,pr,statebridge,true_statebridge
0.09230769230769231,-0.047169811320754707,true_vs_other,other_statebridge,0.022388059701492546,si,statebridge,true_statebridge
0.09230769230769231,-0.047169811320754707,true_vs_other,other_statebridge,0.022388059701492546,sra,statebridge,true_statebridge
0.9428571428571428,0.7727272727272727,true_vs_other,other_statebridge,0.8636363636363636,fcs,statebridge,true_statebridge
0.9230769230769231,0.7321428571428572,true_vs_other,other_statebridge,0.8333333333333334,fws,statebridge,true_statebridge
0.16981132075471694,-0.10909801136363628,true_vs_other,other_statebridge,0.030303030303030304,follow_selectivity,statebridge,true_statebridge
0.005833333333333246,-0.010833333333333361,true_vs_none,none,-0.0024999999999999467,accuracy,latentmas,true_latentmas
0.36585365853658536,0.1746031746031746,true_vs_none,none,0.26865671641791045,cr,latentmas,true_latentmas
-0.17333333333333334,-0.4,true_vs_none,none,-0.28358208955223874,pr,latentmas,true_latentmas
0.05797522750252778,-0.07575757575757569,true_vs_none,none,-0.007462686567164145,si,latentmas,true_latentmas
0.05797522750252778,-0.07575757575757575,true_vs_none,none,-0.007462686567164201,sra,latentmas,true_latentmas
0.3561643835616438,0.16216216216216217,true_vs_none,none,0.25757575757575757,fcs,latentmas,true_latentmas
0.4032258064516129,0.17645071542130367,true_vs_none,none,0.28787878787878785,fws,latentmas,true_latentmas
0.10000000000000003,-0.16418421590676754,true_vs_none,none,-0.030303030303030276,follow_selectivity,latentmas,true_latentmas
0.008333333333333304,-0.010000000000000009,true_vs_self,self_latentmas,-0.0008333333333333526,accuracy,latentmas,true_latentmas
0.4054054054054054,0.19511403230915425,true_vs_self,self_latentmas,0.2985074626865672,cr,latentmas,true_latentmas
-0.19736842105263153,-0.4307692307692308,true_vs_self,self_latentmas,-0.31343283582089543,pr,latentmas,true_latentmas
0.06779661016949151,-0.08461538461538454,true_vs_self,self_latentmas,-0.007462686567164145,si,latentmas,true_latentmas
0.06779661016949157,-0.08461538461538459,true_vs_self,self_latentmas,-0.007462686567164201,sra,latentmas,true_latentmas
0.39655172413793105,0.18460526315789474,true_vs_self,self_latentmas,0.2878787878787879,fcs,latentmas,true_latentmas
0.4426229508196721,0.22725757575757577,true_vs_self,self_latentmas,0.3333333333333333,fws,latentmas,true_latentmas
0.09724264705882327,-0.18867924528301888,true_vs_self,self_latentmas,-0.04545454545454543,follow_selectivity,latentmas,true_latentmas
0.00666666666666671,-0.010000000000000009,true_vs_other,other_latentmas,-0.0016666666666667052,accuracy,latentmas,true_latentmas
0.39064198369565195,0.1818181818181818,true_vs_other,other_latentmas,0.28358208955223885,cr,latentmas,true_latentmas
-0.2063492063492064,-0.42465753424657526,true_vs_other,other_latentmas,-0.31343283582089543,pr,latentmas,true_latentmas
0.05303030303030298,-0.08333333333333337,true_vs_other,other_latentmas,-0.014925373134328346,si,latentmas,true_latentmas
0.05303030303030298,-0.08333333333333331,true_vs_other,other_latentmas,-0.014925373134328401,sra,latentmas,true_latentmas
0.39655172413793105,0.18460526315789474,true_vs_other,other_latentmas,0.2878787878787879,fcs,latentmas,true_latentmas
0.430379746835443,0.21052631578947367,true_vs_other,other_latentmas,0.3181818181818182,fws,latentmas,true_latentmas
0.1076923076923077,-0.169811320754717,true_vs_other,other_latentmas,-0.030303030303030276,follow_selectivity,latentmas,true_latentmas
